age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,8.661244037038221e-7,2.0575643329259065e-5,0,6.073774666762413e-5,53915,strk,0,10,0,0,0,5,male_strk,South East England
1,male,8.661244037038221e-7,2.0575643329259065e-5,0,6.073774666762413e-5,53915,strk,0,10,0,0,0,5,male_strk,South East England
2,male,8.661244037038221e-7,2.0575643329259065e-5,0,6.073774666762413e-5,53915,strk,0,10,0,0,0,5,male_strk,South East England
3,male,8.661244037038221e-7,2.0575643329259065e-5,0,6.073774666762413e-5,53915,strk,0,10,0,0,0,5,male_strk,South East England
4,male,8.661244037038221e-7,2.0575643329259065e-5,0,6.073774666762413e-5,53915,strk,0,10,0,0,0,5,male_strk,South East England
5,male,3.5803285783642177e-7,5.599085372250921e-5,1.3154293087956756e-4,5.142731584506745e-5,58045,strk,0,10,5,0,0,5,male_strk,South East England
6,male,3.5803285783642177e-7,5.599085372250921e-5,1.3154293087956756e-4,5.142731584506745e-5,58045,strk,0,10,5,0,0,5,male_strk,South East England
7,male,3.5803285783642177e-7,5.599085372250921e-5,1.3154293087956756e-4,5.142731584506745e-5,58045,strk,0,10,5,0,0,5,male_strk,South East England
8,male,3.5803285783642177e-7,5.599085372250921e-5,1.3154293087956756e-4,5.142731584506745e-5,58045,strk,0,10,5,0,0,5,male_strk,South East England
9,male,3.5803285783642177e-7,5.599085372250921e-5,1.3154293087956756e-4,5.142731584506745e-5,58045,strk,0,10,5,0,0,5,male_strk,South East England
10,male,6.29224859726991e-7,9.0262396867260935e-005,3.366702909470534e-4,4.76006612842085e-5,54635,strk,0,50,10,0,0,5,male_strk,South East England
11,male,6.29224859726991e-7,9.0262396867260935e-005,3.366702909470534e-4,4.76006612842085e-5,54635,strk,0,50,10,0,0,5,male_strk,South East England
12,male,6.29224859726991e-7,9.0262396867260935e-005,3.366702909470534e-4,4.76006612842085e-5,54635,strk,0,50,10,0,0,5,male_strk,South East England
13,male,6.29224859726991e-7,9.0262396867260935e-005,3.366702909470534e-4,4.76006612842085e-5,54635,strk,0,50,10,0,0,5,male_strk,South East England
14,male,6.29224859726991e-7,9.0262396867260935e-005,3.366702909470534e-4,4.76006612842085e-5,54635,strk,0,50,10,0,0,5,male_strk,South East England
15,male,1.9946507573546393e-6,1.226856253198787e-4,4.4516692271504216e-4,4.525459003264265e-5,53831,strk,0,50,15,0,0,5,male_strk,South East England
16,male,1.9946507573546393e-6,1.226856253198787e-4,4.4516692271504216e-4,4.525459003264265e-5,53831,strk,0,50,15,0,0,5,male_strk,South East England
17,male,1.9946507573546393e-6,1.226856253198787e-4,4.4516692271504216e-4,4.525459003264265e-5,53831,strk,0,50,15,0,0,5,male_strk,South East England
18,male,1.9946507573546393e-6,1.226856253198787e-4,4.4516692271504216e-4,4.525459003264265e-5,53831,strk,0,50,15,0,0,5,male_strk,South East England
19,male,1.9946507573546393e-6,1.226856253198787e-4,4.4516692271504216e-4,4.525459003264265e-5,53831,strk,0,50,15,0,0,5,male_strk,South East England
20,male,4.630089980367334e-6,1.6035694533253925e-4,7.136480904595579e-4,5.682869242421869e-5,55703,strk,0,50,20,0,0,5,male_strk,South East England
21,male,4.630089980367334e-6,1.6035694533253925e-4,7.136480904595579e-4,5.682869242421869e-5,55703,strk,0,50,20,0,0,5,male_strk,South East England
22,male,4.630089980367334e-6,1.6035694533253925e-4,7.136480904595579e-4,5.682869242421869e-5,55703,strk,0,50,20,0,0,5,male_strk,South East England
23,male,4.630089980367334e-6,1.6035694533253925e-4,7.136480904595579e-4,5.682869242421869e-5,55703,strk,0,50,20,0,0,5,male_strk,South East England
24,male,4.630089980367334e-6,1.6035694533253925e-4,7.136480904595579e-4,5.682869242421869e-5,55703,strk,0,50,20,0,0,5,male_strk,South East England
25,male,7.932008989271065e-6,2.0528369579070446e-4,0.0011744132966063326,8.22738035193149e-5,58059,strk,0,50,25,0,0,5,male_strk,South East England
26,male,7.932008989271065e-6,2.0528369579070446e-4,0.0011744132966063326,8.22738035193149e-5,58059,strk,0,50,25,0,0,5,male_strk,South East England
27,male,7.932008989271065e-6,2.0528369579070446e-4,0.0011744132966063326,8.22738035193149e-5,58059,strk,0,50,25,0,0,5,male_strk,South East England
28,male,7.932008989271065e-6,2.0528369579070446e-4,0.0011744132966063326,8.22738035193149e-5,58059,strk,0,50,25,0,0,5,male_strk,South East England
29,male,7.932008989271065e-6,2.0528369579070446e-4,0.0011744132966063326,8.22738035193149e-5,58059,strk,0,50,25,0,0,5,male_strk,South East England
30,male,1.4285292608048386e-5,2.749479904866437e-4,0.001650133701278903,1.549070174825373e-4,57970,strk,0,50,30,0,1,5,male_strk,South East England
31,male,1.4285292608048386e-5,2.749479904866437e-4,0.001650133701278903,1.549070174825373e-4,57970,strk,0,50,30,0,1,5,male_strk,South East England
32,male,1.4285292608048386e-5,2.749479904866437e-4,0.001650133701278903,1.549070174825373e-4,57970,strk,0,50,30,0,1,5,male_strk,South East England
33,male,1.4285292608048386e-5,2.749479904866437e-4,0.001650133701278903,1.549070174825373e-4,57970,strk,0,50,30,0,1,5,male_strk,South East England
34,male,1.4285292608048386e-5,2.749479904866437e-4,0.001650133701278903,1.549070174825373e-4,57970,strk,0,50,30,0,1,5,male_strk,South East England
35,male,2.1987543216472704e-5,3.887828748877042e-4,0.002934873507430057,2.746891253745997e-4,58810,strk,0,50,35,0,1,5,male_strk,South East England
36,male,2.1987543216472704e-5,3.887828748877042e-4,0.002934873507430057,2.746891253745997e-4,58810,strk,0,50,35,0,1,5,male_strk,South East England
37,male,2.1987543216472704e-5,3.887828748877042e-4,0.002934873507430057,2.746891253745997e-4,58810,strk,0,50,35,0,1,5,male_strk,South East England
38,male,2.1987543216472704e-5,3.887828748877042e-4,0.002934873507430057,2.746891253745997e-4,58810,strk,0,50,35,0,1,5,male_strk,South East England
39,male,2.1987543216472704e-5,3.887828748877042e-4,0.002934873507430057,2.746891253745997e-4,58810,strk,0,50,35,0,1,5,male_strk,South East England
40,male,4.457491180698588e-5,5.978144254537264e-4,0.004699857304359985,5.215866442988909e-4,58396,strk,0,50,40,0,3,5,male_strk,South East England
41,male,4.457491180698588e-5,5.978144254537264e-4,0.004699857304359985,5.215866442988909e-4,58396,strk,0,50,40,0,3,5,male_strk,South East England
42,male,4.457491180698588e-5,5.978144254537264e-4,0.004699857304359985,5.215866442988909e-4,58396,strk,0,50,40,0,3,5,male_strk,South East England
43,male,4.457491180698588e-5,5.978144254537264e-4,0.004699857304359985,5.215866442988909e-4,58396,strk,0,50,40,0,3,5,male_strk,South East England
44,male,4.457491180698588e-5,5.978144254537264e-4,0.004699857304359985,5.215866442988909e-4,58396,strk,0,50,40,0,3,5,male_strk,South East England
45,male,7.752702375360999e-5,9.528181429434558e-4,0.007844036074848963,8.958521043217412e-4,64400,strk,0,50,45,0,5,5,male_strk,South East England
46,male,7.752702375360999e-5,9.528181429434558e-4,0.007844036074848963,8.958521043217412e-4,64400,strk,0,50,45,0,5,5,male_strk,South East England
47,male,7.752702375360999e-5,9.528181429434558e-4,0.007844036074848963,8.958521043217412e-4,64400,strk,0,50,45,0,5,5,male_strk,South East England
48,male,7.752702375360999e-5,9.528181429434558e-4,0.007844036074848963,8.958521043217412e-4,64400,strk,0,50,45,0,5,5,male_strk,South East England
49,male,7.752702375360999e-5,9.528181429434558e-4,0.007844036074848963,8.958521043217412e-4,64400,strk,0,50,45,0,5,5,male_strk,South East England
50,male,1.159033496426805e-4,0.0014757532079216155,0.012245403303685032,0.0014565981894143676,65354,strk,0,50,50,1,8,5,male_strk,South East England
51,male,1.159033496426805e-4,0.0014757532079216155,0.012245403303685032,0.0014565981894143676,65354,strk,0,50,50,1,8,5,male_strk,South East England
52,male,1.159033496426805e-4,0.0014757532079216155,0.012245403303685032,0.0014565981894143676,65354,strk,0,50,50,1,8,5,male_strk,South East England
53,male,1.159033496426805e-4,0.0014757532079216155,0.012245403303685032,0.0014565981894143676,65354,strk,0,50,50,1,8,5,male_strk,South East England
54,male,1.159033496426805e-4,0.0014757532079216155,0.012245403303685032,0.0014565981894143676,65354,strk,0,50,50,1,8,5,male_strk,South East England
55,male,1.9239979007397743e-4,0.002250503559001357,0.01832583385131285,0.0022031411285317794,57364,strk,0,50,55,1,11,5,male_strk,South East England
56,male,1.9239979007397743e-4,0.002250503559001357,0.01832583385131285,0.0022031411285317794,57364,strk,0,50,55,1,11,5,male_strk,South East England
57,male,1.9239979007397743e-4,0.002250503559001357,0.01832583385131285,0.0022031411285317794,57364,strk,0,50,55,1,11,5,male_strk,South East England
58,male,1.9239979007397743e-4,0.002250503559001357,0.01832583385131285,0.0022031411285317794,57364,strk,0,50,55,1,11,5,male_strk,South East England
59,male,1.9239979007397743e-4,0.002250503559001357,0.01832583385131285,0.0022031411285317794,57364,strk,0,50,55,1,11,5,male_strk,South East England
60,male,3.041740927652371e-4,0.003186528903063986,0.025718282248263287,0.002844060128718008,48094,strk,0,50,60,1,15,5,male_strk,South East England
61,male,3.041740927652371e-4,0.003186528903063986,0.025718282248263287,0.002844060128718008,48094,strk,0,50,60,1,15,5,male_strk,South East England
62,male,3.041740927652371e-4,0.003186528903063986,0.025718282248263287,0.002844060128718008,48094,strk,0,50,60,1,15,5,male_strk,South East England
63,male,3.041740927652371e-4,0.003186528903063986,0.025718282248263287,0.002844060128718008,48094,strk,0,50,60,1,15,5,male_strk,South East England
64,male,3.041740927652371e-4,0.003186528903063986,0.025718282248263287,0.002844060128718008,48094,strk,0,50,60,1,15,5,male_strk,South East England
65,male,5.327997116100578e-4,0.004294177915431639,0.03430321859176044,0.00337760624595909,47564,strk,0,50,65,2,25,5,male_strk,South East England
66,male,5.327997116100578e-4,0.004294177915431639,0.03430321859176044,0.00337760624595909,47564,strk,0,50,65,2,25,5,male_strk,South East England
67,male,5.327997116100578e-4,0.004294177915431639,0.03430321859176044,0.00337760624595909,47564,strk,0,50,65,2,25,5,male_strk,South East England
68,male,5.327997116100578e-4,0.004294177915431639,0.03430321859176044,0.00337760624595909,47564,strk,0,50,65,2,25,5,male_strk,South East England
69,male,5.327997116100578e-4,0.004294177915431639,0.03430321859176044,0.00337760624595909,47564,strk,0,50,65,2,25,5,male_strk,South East England
70,male,9.961526576387823e-4,0.006322732439946902,0.04433657356837994,0.004203351647848707,41126,strk,0,50,70,2,41,5,male_strk,South East England
71,male,9.961526576387823e-4,0.006322732439946902,0.04433657356837994,0.004203351647848707,41126,strk,0,50,70,2,41,5,male_strk,South East England
72,male,9.961526576387823e-4,0.006322732439946902,0.04433657356837994,0.004203351647848707,41126,strk,0,50,70,2,41,5,male_strk,South East England
73,male,9.961526576387823e-4,0.006322732439946902,0.04433657356837994,0.004203351647848707,41126,strk,0,50,70,2,41,5,male_strk,South East England
74,male,9.961526576387823e-4,0.006322732439946902,0.04433657356837994,0.004203351647848707,41126,strk,0,50,70,2,41,5,male_strk,South East England
75,male,0.0022583222731547064,0.008981699089004145,0.05634071186588711,0.0053207543708232346,28432,strk,0,50,75,3,64,5,male_strk,South East England
76,male,0.0022583222731547064,0.008981699089004145,0.05634071186588711,0.0053207543708232346,28432,strk,0,50,75,3,64,5,male_strk,South East England
77,male,0.0022583222731547064,0.008981699089004145,0.05634071186588711,0.0053207543708232346,28432,strk,0,50,75,3,64,5,male_strk,South East England
78,male,0.0022583222731547064,0.008981699089004145,0.05634071186588711,0.0053207543708232346,28432,strk,0,50,75,3,64,5,male_strk,South East England
79,male,0.0022583222731547064,0.008981699089004145,0.05634071186588711,0.0053207543708232346,28432,strk,0,50,75,3,64,5,male_strk,South East England
80,male,0.00488586174520884,0.012440318717566064,0.07019263940928354,0.008070848670404147,20280,strk,0,20,80,1,99,5,male_strk,South East England
81,male,0.00488586174520884,0.012440318717566064,0.07019263940928354,0.008070848670404147,20280,strk,0,20,80,1,99,5,male_strk,South East England
82,male,0.00488586174520884,0.012440318717566064,0.07019263940928354,0.008070848670404147,20280,strk,0,20,80,1,99,5,male_strk,South East England
83,male,0.00488586174520884,0.012440318717566064,0.07019263940928354,0.008070848670404147,20280,strk,0,20,80,1,99,5,male_strk,South East England
84,male,0.00488586174520884,0.012440318717566064,0.07019263940928354,0.008070848670404147,20280,strk,0,20,80,1,99,5,male_strk,South East England
