age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.4709540651980865e-5,7.838694476430888e-5,3.1787331367506225e-4,3.7892061090066007e-4,18936,crdd,0,10,0,0,0,5,female_crdd,westmidlands
1,female,1.4709540651980865e-5,7.838694476430888e-5,3.1787331367506225e-4,3.7892061090066007e-4,18936,crdd,0,10,0,0,0,5,female_crdd,westmidlands
2,female,1.4709540651980865e-5,7.838694476430888e-5,3.1787331367506225e-4,3.7892061090066007e-4,18936,crdd,0,10,0,0,0,5,female_crdd,westmidlands
3,female,1.4709540651980865e-5,7.838694476430888e-5,3.1787331367506225e-4,3.7892061090066007e-4,18936,crdd,0,10,0,0,0,5,female_crdd,westmidlands
4,female,1.4709540651980865e-5,7.838694476430888e-5,3.1787331367506225e-4,3.7892061090066007e-4,18936,crdd,0,10,0,0,0,5,female_crdd,westmidlands
5,female,3.0575281025141677e-6,1.4180760020000385e-4,3.2247998618854383e-4,2.677032527795535e-4,20105,crdd,0,10,5,0,0,5,female_crdd,westmidlands
6,female,3.0575281025141677e-6,1.4180760020000385e-4,3.2247998618854383e-4,2.677032527795535e-4,20105,crdd,0,10,5,0,0,5,female_crdd,westmidlands
7,female,3.0575281025141677e-6,1.4180760020000385e-4,3.2247998618854383e-4,2.677032527795535e-4,20105,crdd,0,10,5,0,0,5,female_crdd,westmidlands
8,female,3.0575281025141677e-6,1.4180760020000385e-4,3.2247998618854383e-4,2.677032527795535e-4,20105,crdd,0,10,5,0,0,5,female_crdd,westmidlands
9,female,3.0575281025141677e-6,1.4180760020000385e-4,3.2247998618854383e-4,2.677032527795535e-4,20105,crdd,0,10,5,0,0,5,female_crdd,westmidlands
10,female,3.1411545343703886e-6,2.559840424825071e-4,0.0018505151711692357,2.344346425573234e-4,18311,crdd,0,50,10,0,0,5,female_crdd,westmidlands
11,female,3.1411545343703886e-6,2.559840424825071e-4,0.0018505151711692357,2.344346425573234e-4,18311,crdd,0,50,10,0,0,5,female_crdd,westmidlands
