age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,2.134574235742421e-6,4.117448782695638e-5,3.430893897421389e-5,1.363225454369908e-4,18936,strk,0,10,0,0,0,5,female_strk,westmidlands
1,female,2.134574235742421e-6,4.117448782695638e-5,3.430893897421389e-5,1.363225454369908e-4,18936,strk,0,10,0,0,0,5,female_strk,westmidlands
2,female,2.134574235742421e-6,4.117448782695638e-5,3.430893897421389e-5,1.363225454369908e-4,18936,strk,0,10,0,0,0,5,female_strk,westmidlands
3,female,2.134574235742421e-6,4.117448782695638e-5,3.430893897421389e-5,1.363225454369908e-4,18936,strk,0,10,0,0,0,5,female_strk,westmidlands
4,female,2.134574235742421e-6,4.117448782695638e-5,3.430893897421389e-5,1.363225454369908e-4,18936,strk,0,10,0,0,0,5,female_strk,westmidlands
5,female,8.300089355314436e-7,1.0274011539637698e-4,3.2247998618854383e-4,6.179344083966003e-5,20105,strk,0,10,5,0,0,5,female_strk,westmidlands
6,female,8.300089355314436e-7,1.0274011539637698e-4,3.2247998618854383e-4,6.179344083966003e-5,20105,strk,0,10,5,0,0,5,female_strk,westmidlands
7,female,8.300089355314436e-7,1.0274011539637698e-4,3.2247998618854383e-4,6.179344083966003e-5,20105,strk,0,10,5,0,0,5,female_strk,westmidlands
8,female,8.300089355314436e-7,1.0274011539637698e-4,3.2247998618854383e-4,6.179344083966003e-5,20105,strk,0,10,5,0,0,5,female_strk,westmidlands
9,female,8.300089355314436e-7,1.0274011539637698e-4,3.2247998618854383e-4,6.179344083966003e-5,20105,strk,0,10,5,0,0,5,female_strk,westmidlands
10,female,1.0767240206642438e-6,1.5585526494550406e-4,6.576372393542396e-4,5.6193596911229194e-5,18311,strk,0,50,10,0,0,5,female_strk,westmidlands
11,female,1.0767240206642438e-6,1.5585526494550406e-4,6.576372393542396e-4,5.6193596911229194e-5,18311,strk,0,50,10,0,0,5,female_strk,westmidlands
12,female,1.0767240206642438e-6,1.5585526494550406e-4,6.576372393542396e-4,5.6193596911229194e-5,18311,strk,0,50,10,0,0,5,female_strk,westmidlands
13,female,1.0767240206642438e-6,1.5585526494550406e-4,6.576372393542396e-4,5.6193596911229194e-5,18311,strk,0,50,10,0,0,5,female_strk,westmidlands
14,female,1.0767240206642438e-6,1.5585526494550406e-4,6.576372393542396e-4,5.6193596911229194e-5,18311,strk,0,50,10,0,0,5,female_strk,westmidlands
15,female,2.492887107458043e-6,2.0601300729325883e-4,8.959909454813708e-4,5.373797733067563e-5,18007,strk,0,50,15,0,0,5,female_strk,westmidlands
16,female,2.492887107458043e-6,2.0601300729325883e-4,8.959909454813708e-4,5.373797733067563e-5,18007,strk,0,50,15,0,0,5,female_strk,westmidlands
17,female,2.492887107458043e-6,2.0601300729325883e-4,8.959909454813708e-4,5.373797733067563e-5,18007,strk,0,50,15,0,0,5,female_strk,westmidlands
18,female,2.492887107458043e-6,2.0601300729325883e-4,8.959909454813708e-4,5.373797733067563e-5,18007,strk,0,50,15,0,0,5,female_strk,westmidlands
19,female,2.492887107458043e-6,2.0601300729325883e-4,8.959909454813708e-4,5.373797733067563e-5,18007,strk,0,50,15,0,0,5,female_strk,westmidlands
20,female,6.201392143790873e-6,2.612245452349358e-4,0.0012194816003963506,6.902484291914328e-5,20367,strk,0,50,20,0,0,5,female_strk,westmidlands
21,female,6.201392143790873e-6,2.612245452349358e-4,0.0012194816003963506,6.902484291914328e-5,20367,strk,0,50,20,0,0,5,female_strk,westmidlands
22,female,6.201392143790873e-6,2.612245452349358e-4,0.0012194816003963506,6.902484291914328e-5,20367,strk,0,50,20,0,0,5,female_strk,westmidlands
23,female,6.201392143790873e-6,2.612245452349358e-4,0.0012194816003963506,6.902484291914328e-5,20367,strk,0,50,20,0,0,5,female_strk,westmidlands
24,female,6.201392143790873e-6,2.612245452349358e-4,0.0012194816003963506,6.902484291914328e-5,20367,strk,0,50,20,0,0,5,female_strk,westmidlands
25,female,8.696300108882055e-6,3.239937283952029e-4,0.0018278480627572106,1.020276546999831e-4,22259,strk,0,50,25,0,0,5,female_strk,westmidlands
26,female,8.696300108882055e-6,3.239937283952029e-4,0.0018278480627572106,1.020276546999831e-4,22259,strk,0,50,25,0,0,5,female_strk,westmidlands
27,female,8.696300108882055e-6,3.239937283952029e-4,0.0018278480627572106,1.020276546999831e-4,22259,strk,0,50,25,0,0,5,female_strk,westmidlands
