age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,18936,lvrc,0,10,0,0,0,5,female_lvrc,westmidlands
1,female,0,0,0,1e-8,18936,lvrc,0,10,0,0,0,5,female_lvrc,westmidlands
2,female,0,0,0,1e-8,18936,lvrc,0,10,0,0,0,5,female_lvrc,westmidlands
3,female,0,0,0,1e-8,18936,lvrc,0,10,0,0,0,5,female_lvrc,westmidlands
4,female,0,0,0,1e-8,18936,lvrc,0,10,0,0,0,5,female_lvrc,westmidlands
5,female,3.508303484326067e-7,1.5322905217605853e-7,0,6.861317784945881e-7,20105,lvrc,0,10,5,0,0,5,female_lvrc,westmidlands
6,female,3.508303484326067e-7,1.5322905217605853e-7,0,6.861317784945881e-7,20105,lvrc,0,10,5,0,0,5,female_lvrc,westmidlands
7,female,3.508303484326067e-7,1.5322905217605853e-7,0,6.861317784945881e-7,20105,lvrc,0,10,5,0,0,5,female_lvrc,westmidlands
8,female,3.508303484326067e-7,1.5322905217605853e-7,0,6.861317784945881e-7,20105,lvrc,0,10,5,0,0,5,female_lvrc,westmidlands
9,female,3.508303484326067e-7,1.5322905217605853e-7,0,6.861317784945881e-7,20105,lvrc,0,10,5,0,0,5,female_lvrc,westmidlands
10,female,3.877405172254423e-7,1.6169954566214007e-7,0,7.146669741318421e-7,18311,lvrc,0,50,10,0,0,5,female_lvrc,westmidlands
11,female,3.877405172254423e-7,1.6169954566214007e-7,0,7.146669741318421e-7,18311,lvrc,0,50,10,0,0,5,female_lvrc,westmidlands
12,female,3.877405172254423e-7,1.6169954566214007e-7,0,7.146669741318421e-7,18311,lvrc,0,50,10,0,0,5,female_lvrc,westmidlands
13,female,3.877405172254423e-7,1.6169954566214007e-7,0,7.146669741318421e-7,18311,lvrc,0,50,10,0,0,5,female_lvrc,westmidlands
14,female,3.877405172254423e-7,1.6169954566214007e-7,0,7.146669741318421e-7,18311,lvrc,0,50,10,0,0,5,female_lvrc,westmidlands
