age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,8.828823384785003e-7,2.9068974579050864e-5,3.940350879205023e-4,1.3301037333538645e-4,14830,copd,0,10,0,0,0,5,female_copd,leeds
1,female,8.828823384785003e-7,2.9068974579050864e-5,3.940350879205023e-4,1.3301037333538645e-4,14830,copd,0,10,0,0,0,5,female_copd,leeds
2,female,8.828823384785003e-7,2.9068974579050864e-5,3.940350879205023e-4,1.3301037333538645e-4,14830,copd,0,10,0,0,0,5,female_copd,leeds
3,female,8.828823384785003e-7,2.9068974579050864e-5,3.940350879205023e-4,1.3301037333538645e-4,14830,copd,0,10,0,0,0,5,female_copd,leeds
4,female,8.828823384785003e-7,2.9068974579050864e-5,3.940350879205023e-4,1.3301037333538645e-4,14830,copd,0,10,0,0,0,5,female_copd,leeds
5,female,6.52309665779465e-7,8.87498193964926e-5,0.0012403236067402839,1.6678554720389485e-4,15480,copd,0,10,5,0,0,5,female_copd,leeds
6,female,6.52309665779465e-7,8.87498193964926e-5,0.0012403236067402839,1.6678554720389485e-4,15480,copd,0,10,5,0,0,5,female_copd,leeds
7,female,6.52309665779465e-7,8.87498193964926e-5,0.0012403236067402839,1.6678554720389485e-4,15480,copd,0,10,5,0,0,5,female_copd,leeds
8,female,6.52309665779465e-7,8.87498193964926e-5,0.0012403236067402839,1.6678554720389485e-4,15480,copd,0,10,5,0,0,5,female_copd,leeds
9,female,6.52309665779465e-7,8.87498193964926e-5,0.0012403236067402839,1.6678554720389485e-4,15480,copd,0,10,5,0,0,5,female_copd,leeds
10,female,7.66875661962337e-7,1.7122319402052601e-4,0.00240375230348931,3.604984416531347e-4,14032,copd,0,50,10,0,0,5,female_copd,leeds
11,female,7.66875661962337e-7,1.7122319402052601e-4,0.00240375230348931,3.604984416531347e-4,14032,copd,0,50,10,0,0,5,female_copd,leeds
12,female,7.66875661962337e-7,1.7122319402052601e-4,0.00240375230348931,3.604984416531347e-4,14032,copd,0,50,10,0,0,5,female_copd,leeds
13,female,7.66875661962337e-7,1.7122319402052601e-4,0.00240375230348931,3.604984416531347e-4,14032,copd,0,50,10,0,0,5,female_copd,leeds
14,female,7.66875661962337e-7,1.7122319402052601e-4,0.00240375230348931,3.604984416531347e-4,14032,copd,0,50,10,0,0,5,female_copd,leeds
15,female,9.104577903107103e-7,3.550854840234611e-4,0.005164541847567866,7.445639607381283e-4,13771,copd,0,50,15,0,0,5,female_copd,leeds
16,female,9.104577903107103e-7,3.550854840234611e-4,0.005164541847567866,7.445639607381283e-4,13771,copd,0,50,15,0,0,5,female_copd,leeds
17,female,9.104577903107103e-7,3.550854840234611e-4,0.005164541847567866,7.445639607381283e-4,13771,copd,0,50,15,0,0,5,female_copd,leeds
18,female,9.104577903107103e-7,3.550854840234611e-4,0.005164541847567866,7.445639607381283e-4,13771,copd,0,50,15,0,0,5,female_copd,leeds
19,female,9.104577903107103e-7,3.550854840234611e-4,0.005164541847567866,7.445639607381283e-4,13771,copd,0,50,15,0,0,5,female_copd,leeds
20,female,1.2250836330966526e-6,6.672045361401107e-4,0.009784588242423137,0.0011007698852357527,15636,copd,0,50,20,0,0,5,female_copd,leeds
21,female,1.2250836330966526e-6,6.672045361401107e-4,0.009784588242423137,0.0011007698852357527,15636,copd,0,50,20,0,0,5,female_copd,leeds
22,female,1.2250836330966526e-6,6.672045361401107e-4,0.009784588242423137,0.0011007698852357527,15636,copd,0,50,20,0,0,5,female_copd,leeds
23,female,1.2250836330966526e-6,6.672045361401107e-4,0.009784588242423137,0.0011007698852357527,15636,copd,0,50,20,0,0,5,female_copd,leeds
24,female,1.2250836330966526e-6,6.672045361401107e-4,0.009784588242423137,0.0011007698852357527,15636,copd,0,50,20,0,0,5,female_copd,leeds
25,female,1.4687510110262994e-6,0.001080178368491269,0.016104135525591267,0.001430542698805477,17527,copd,0,50,25,1,0,5,female_copd,leeds
26,female,1.4687510110262994e-6,0.001080178368491269,0.016104135525591267,0.001430542698805477,17527,copd,0,50,25,1,0,5,female_copd,leeds
27,female,1.4687510110262994e-6,0.001080178368491269,0.016104135525591267,0.001430542698805477,17527,copd,0,50,25,1,0,5,female_copd,leeds
