age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,3.851282922992596e-7,2.1854220274178754e-5,3.359536122445458e-4,1.1181452644719615e-4,30524,copd,0,10,0,0,0,5,male_copd,South West England
1,male,3.851282922992596e-7,2.1854220274178754e-5,3.359536122445458e-4,1.1181452644719615e-4,30524,copd,0,10,0,0,0,5,male_copd,South West England
2,male,3.851282922992596e-7,2.1854220274178754e-5,3.359536122445458e-4,1.1181452644719615e-4,30524,copd,0,10,0,0,0,5,male_copd,South West England
3,male,3.851282922992596e-7,2.1854220274178754e-5,3.359536122445458e-4,1.1181452644719615e-4,30524,copd,0,10,0,0,0,5,male_copd,South West England
4,male,3.851282922992596e-7,2.1854220274178754e-5,3.359536122445458e-4,1.1181452644719615e-4,30524,copd,0,10,0,0,0,5,male_copd,South West England
5,male,1.3261017144427474e-7,6.712976069759232e-5,0.0010520937020687552,1.4182366692242575e-4,32196,copd,0,10,5,0,0,5,male_copd,South West England
6,male,1.3261017144427474e-7,6.712976069759232e-5,0.0010520937020687552,1.4182366692242575e-4,32196,copd,0,10,5,0,0,5,male_copd,South West England
7,male,1.3261017144427474e-7,6.712976069759232e-5,0.0010520937020687552,1.4182366692242575e-4,32196,copd,0,10,5,0,0,5,male_copd,South West England
8,male,1.3261017144427474e-7,6.712976069759232e-5,0.0010520937020687552,1.4182366692242575e-4,32196,copd,0,10,5,0,0,5,male_copd,South West England
9,male,1.3261017144427474e-7,6.712976069759232e-5,0.0010520937020687552,1.4182366692242575e-4,32196,copd,0,10,5,0,0,5,male_copd,South West England
10,male,1.3201449879916244e-7,1.228577480009175e-4,0.0019678356929305157,2.626260035598121e-4,30660,copd,0,50,10,0,0,5,male_copd,South West England
11,male,1.3201449879916244e-7,1.228577480009175e-4,0.0019678356929305157,2.626260035598121e-4,30660,copd,0,50,10,0,0,5,male_copd,South West England
12,male,1.3201449879916244e-7,1.228577480009175e-4,0.0019678356929305157,2.626260035598121e-4,30660,copd,0,50,10,0,0,5,male_copd,South West England
13,male,1.3201449879916244e-7,1.228577480009175e-4,0.0019678356929305157,2.626260035598121e-4,30660,copd,0,50,10,0,0,5,male_copd,South West England
14,male,1.3201449879916244e-7,1.228577480009175e-4,0.0019678356929305157,2.626260035598121e-4,30660,copd,0,50,10,0,0,5,male_copd,South West England
15,male,3.7807134042611304e-7,2.358209214148204e-4,0.0038754505939271825,5.008257321806963e-4,31440,copd,0,50,15,0,0,5,male_copd,South West England
16,male,3.7807134042611304e-7,2.358209214148204e-4,0.0038754505939271825,5.008257321806963e-4,31440,copd,0,50,15,0,0,5,male_copd,South West England
17,male,3.7807134042611304e-7,2.358209214148204e-4,0.0038754505939271825,5.008257321806963e-4,31440,copd,0,50,15,0,0,5,male_copd,South West England
18,male,3.7807134042611304e-7,2.358209214148204e-4,0.0038754505939271825,5.008257321806963e-4,31440,copd,0,50,15,0,0,5,male_copd,South West England
19,male,3.7807134042611304e-7,2.358209214148204e-4,0.0038754505939271825,5.008257321806963e-4,31440,copd,0,50,15,0,0,5,male_copd,South West England
20,male,6.639272659779608e-7,4.2185186257650685e-4,0.006981329224303813,7.419744746129588e-4,33791,copd,0,50,20,0,0,5,male_copd,South West England
21,male,6.639272659779608e-7,4.2185186257650685e-4,0.006981329224303813,7.419744746129588e-4,33791,copd,0,50,20,0,0,5,male_copd,South West England
22,male,6.639272659779608e-7,4.2185186257650685e-4,0.006981329224303813,7.419744746129588e-4,33791,copd,0,50,20,0,0,5,male_copd,South West England
23,male,6.639272659779608e-7,4.2185186257650685e-4,0.006981329224303813,7.419744746129588e-4,33791,copd,0,50,20,0,0,5,male_copd,South West England
24,male,6.639272659779608e-7,4.2185186257650685e-4,0.006981329224303813,7.419744746129588e-4,33791,copd,0,50,20,0,0,5,male_copd,South West England
25,male,7.87753896845365e-7,6.713108872484207e-4,0.011307512746685728,9.857669234207263e-4,36053,copd,0,50,25,1,0,5,male_copd,South West England
26,male,7.87753896845365e-7,6.713108872484207e-4,0.011307512746685728,9.857669234207263e-4,36053,copd,0,50,25,1,0,5,male_copd,South West England
27,male,7.87753896845365e-7,6.713108872484207e-4,0.011307512746685728,9.857669234207263e-4,36053,copd,0,50,25,1,0,5,male_copd,South West England
28,male,7.87753896845365e-7,6.713108872484207e-4,0.011307512746685728,9.857669234207263e-4,36053,copd,0,50,25,1,0,5,male_copd,South West England
29,male,7.87753896845365e-7,6.713108872484207e-4,0.011307512746685728,9.857669234207263e-4,36053,copd,0,50,25,1,0,5,male_copd,South West England
30,male,1.3560983245173058e-6,9.943413464032947e-4,0.016955914285904598,0.0013032213476121054,34723,copd,0,50,30,1,0,5,male_copd,South West England
31,male,1.3560983245173058e-6,9.943413464032947e-4,0.016955914285904598,0.0013032213476121054,34723,copd,0,50,30,1,0,5,male_copd,South West England
32,male,1.3560983245173058e-6,9.943413464032947e-4,0.016955914285904598,0.0013032213476121054,34723,copd,0,50,30,1,0,5,male_copd,South West England
33,male,1.3560983245173058e-6,9.943413464032947e-4,0.016955914285904598,0.0013032213476121054,34723,copd,0,50,30,1,0,5,male_copd,South West England
34,male,1.3560983245173058e-6,9.943413464032947e-4,0.016955914285904598,0.0013032213476121054,34723,copd,0,50,30,1,0,5,male_copd,South West England
