age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,4.4942971221620133e-7,1.6969853961099757e-5,1.4208350855281823e-4,4.784266372279735e-5,30524,iscs,0,10,0,0,0,5,male_iscs,South West England
1,male,4.4942971221620133e-7,1.6969853961099757e-5,1.4208350855281823e-4,4.784266372279735e-5,30524,iscs,0,10,0,0,0,5,male_iscs,South West England
2,male,4.4942971221620133e-7,1.6969853961099757e-5,1.4208350855281823e-4,4.784266372279735e-5,30524,iscs,0,10,0,0,0,5,male_iscs,South West England
3,male,4.4942971221620133e-7,1.6969853961099757e-5,1.4208350855281823e-4,4.784266372279735e-5,30524,iscs,0,10,0,0,0,5,male_iscs,South West England
4,male,4.4942971221620133e-7,1.6969853961099757e-5,1.4208350855281823e-4,4.784266372279735e-5,30524,iscs,0,10,0,0,0,5,male_iscs,South West England
5,male,6.991079970648196e-8,4.3734746759287136e-5,3.718124061686193e-4,3.011385592453845e-5,32196,iscs,0,10,5,0,0,5,male_iscs,South West England
6,male,6.991079970648196e-8,4.3734746759287136e-5,3.718124061686193e-4,3.011385592453845e-5,32196,iscs,0,10,5,0,0,5,male_iscs,South West England
7,male,6.991079970648196e-8,4.3734746759287136e-5,3.718124061686193e-4,3.011385592453845e-5,32196,iscs,0,10,5,0,0,5,male_iscs,South West England
8,male,6.991079970648196e-8,4.3734746759287136e-5,3.718124061686193e-4,3.011385592453845e-5,32196,iscs,0,10,5,0,0,5,male_iscs,South West England
9,male,6.991079970648196e-8,4.3734746759287136e-5,3.718124061686193e-4,3.011385592453845e-5,32196,iscs,0,10,5,0,0,5,male_iscs,South West England
10,male,7.006021309273384e-8,6.852702359902093e-5,5.722789507020105e-4,2.754164083402753e-5,30660,iscs,0,50,10,0,0,5,male_iscs,South West England
11,male,7.006021309273384e-8,6.852702359902093e-5,5.722789507020105e-4,2.754164083402753e-5,30660,iscs,0,50,10,0,0,5,male_iscs,South West England
12,male,7.006021309273384e-8,6.852702359902093e-5,5.722789507020105e-4,2.754164083402753e-5,30660,iscs,0,50,10,0,0,5,male_iscs,South West England
13,male,7.006021309273384e-8,6.852702359902093e-5,5.722789507020105e-4,2.754164083402753e-5,30660,iscs,0,50,10,0,0,5,male_iscs,South West England
14,male,7.006021309273384e-8,6.852702359902093e-5,5.722789507020105e-4,2.754164083402753e-5,30660,iscs,0,50,10,0,0,5,male_iscs,South West England
15,male,2.059514470348202e-7,9.070663938618422e-5,7.593361318826718e-4,2.3720801751944166e-5,31440,iscs,0,50,15,0,0,5,male_iscs,South West England
16,male,2.059514470348202e-7,9.070663938618422e-5,7.593361318826718e-4,2.3720801751944166e-5,31440,iscs,0,50,15,0,0,5,male_iscs,South West England
17,male,2.059514470348202e-7,9.070663938618422e-5,7.593361318826718e-4,2.3720801751944166e-5,31440,iscs,0,50,15,0,0,5,male_iscs,South West England
18,male,2.059514470348202e-7,9.070663938618422e-5,7.593361318826718e-4,2.3720801751944166e-5,31440,iscs,0,50,15,0,0,5,male_iscs,South West England
19,male,2.059514470348202e-7,9.070663938618422e-5,7.593361318826718e-4,2.3720801751944166e-5,31440,iscs,0,50,15,0,0,5,male_iscs,South West England
20,male,3.7615299524168375e-7,1.127365710679992e-4,9.41124794407854e-4,2.4520200173934664e-5,33791,iscs,0,50,20,0,0,5,male_iscs,South West England
21,male,3.7615299524168375e-7,1.127365710679992e-4,9.41124794407854e-4,2.4520200173934664e-5,33791,iscs,0,50,20,0,0,5,male_iscs,South West England
22,male,3.7615299524168375e-7,1.127365710679992e-4,9.41124794407854e-4,2.4520200173934664e-5,33791,iscs,0,50,20,0,0,5,male_iscs,South West England
23,male,3.7615299524168375e-7,1.127365710679992e-4,9.41124794407854e-4,2.4520200173934664e-5,33791,iscs,0,50,20,0,0,5,male_iscs,South West England
24,male,3.7615299524168375e-7,1.127365710679992e-4,9.41124794407854e-4,2.4520200173934664e-5,33791,iscs,0,50,20,0,0,5,male_iscs,South West England
25,male,6.75561849901203e-7,1.3754892131939776e-4,0.0011488669775324644,2.9885469184726687e-5,36053,iscs,0,50,25,0,0,5,male_iscs,South West England
26,male,6.75561849901203e-7,1.3754892131939776e-4,0.0011488669775324644,2.9885469184726687e-5,36053,iscs,0,50,25,0,0,5,male_iscs,South West England
27,male,6.75561849901203e-7,1.3754892131939776e-4,0.0011488669775324644,2.9885469184726687e-5,36053,iscs,0,50,25,0,0,5,male_iscs,South West England
