age,sex,inc,mort,ylds (years lived with disability)_rate_dmt2,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Dmt2,0,10,0,2,0,5,female_Dmt2
1,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Dmt2,0,10,0,2,0,5,female_Dmt2
2,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Dmt2,0,10,0,2,0,5,female_Dmt2
3,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Dmt2,0,10,0,2,0,5,female_Dmt2
4,female,0.9515058271496156,0,0.006536455824054826,0.15229093488573545,6598,Dmt2,0,10,0,2,0,5,female_Dmt2
5,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Dmt2,0,10,5,2,0,5,female_Dmt2
6,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Dmt2,0,10,5,2,0,5,female_Dmt2
7,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Dmt2,0,10,5,2,0,5,female_Dmt2
8,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Dmt2,0,10,5,2,0,5,female_Dmt2
9,female,0.9166978335880622,0,0.009138212630136465,0.19125479595515316,6603,Dmt2,0,10,5,2,0,5,female_Dmt2
10,female,0.0015980401356352617,0,1.544159364766449e-4,0.003106479792085421,6051,Dmt2,0,50,10,0,0,5,female_Dmt2
11,female,0.0015980401356352617,0,1.544159364766449e-4,0.003106479792085421,6051,Dmt2,0,50,10,0,0,5,female_Dmt2
12,female,0.0015980401356352617,0,1.544159364766449e-4,0.003106479792085421,6051,Dmt2,0,50,10,0,0,5,female_Dmt2
13,female,0.0015980401356352617,0,1.544159364766449e-4,0.003106479792085421,6051,Dmt2,0,50,10,0,0,5,female_Dmt2
14,female,0.0015980401356352617,0,1.544159364766449e-4,0.003106479792085421,6051,Dmt2,0,50,10,0,0,5,female_Dmt2
15,female,0.002832610083621811,1.4294712248779437e-7,8.339069275403986e-4,0.015938980561553934,6338,Dmt2,0,50,15,1,0,5,female_Dmt2
16,female,0.002832610083621811,1.4294712248779437e-7,8.339069275403986e-4,0.015938980561553934,6338,Dmt2,0,50,15,1,0,5,female_Dmt2
17,female,0.002832610083621811,1.4294712248779437e-7,8.339069275403986e-4,0.015938980561553934,6338,Dmt2,0,50,15,1,0,5,female_Dmt2
18,female,0.002832610083621811,1.4294712248779437e-7,8.339069275403986e-4,0.015938980561553934,6338,Dmt2,0,50,15,1,0,5,female_Dmt2
19,female,0.002832610083621811,1.4294712248779437e-7,8.339069275403986e-4,0.015938980561553934,6338,Dmt2,0,50,15,1,0,5,female_Dmt2
20,female,0.001884674203379126,1.3640062593231418e-7,0.001517472529080759,0.02745251374111456,7828,Dmt2,0,50,20,1,0,5,female_Dmt2
21,female,0.001884674203379126,1.3640062593231418e-7,0.001517472529080759,0.02745251374111456,7828,Dmt2,0,50,20,1,0,5,female_Dmt2
22,female,0.001884674203379126,1.3640062593231418e-7,0.001517472529080759,0.02745251374111456,7828,Dmt2,0,50,20,1,0,5,female_Dmt2
23,female,0.001884674203379126,1.3640062593231418e-7,0.001517472529080759,0.02745251374111456,7828,Dmt2,0,50,20,1,0,5,female_Dmt2
24,female,0.001884674203379126,1.3640062593231418e-7,0.001517472529080759,0.02745251374111456,7828,Dmt2,0,50,20,1,0,5,female_Dmt2
25,female,7.366706660831192e-4,2.1045998113569863e-7,0.0019286254282013717,0.033106855781507925,8833,Dmt2,0,50,25,2,0,5,female_Dmt2
26,female,7.366706660831192e-4,2.1045998113569863e-7,0.0019286254282013717,0.033106855781507925,8833,Dmt2,0,50,25,2,0,5,female_Dmt2
27,female,7.366706660831192e-4,2.1045998113569863e-7,0.0019286254282013717,0.033106855781507925,8833,Dmt2,0,50,25,2,0,5,female_Dmt2
28,female,7.366706660831192e-4,2.1045998113569863e-7,0.0019286254282013717,0.033106855781507925,8833,Dmt2,0,50,25,2,0,5,female_Dmt2
29,female,7.366706660831192e-4,2.1045998113569863e-7,0.0019286254282013717,0.033106855781507925,8833,Dmt2,0,50,25,2,0,5,female_Dmt2
30,female,6.527428016189152e-4,5.647648653332346e-7,0.0021556848893880846,0.035357612481535926,7963,Dmt2,0,50,30,2,0,5,female_Dmt2
31,female,6.527428016189152e-4,5.647648653332346e-7,0.0021556848893880846,0.035357612481535926,7963,Dmt2,0,50,30,2,0,5,female_Dmt2
32,female,6.527428016189152e-4,5.647648653332346e-7,0.0021556848893880846,0.035357612481535926,7963,Dmt2,0,50,30,2,0,5,female_Dmt2
33,female,6.527428016189152e-4,5.647648653332346e-7,0.0021556848893880846,0.035357612481535926,7963,Dmt2,0,50,30,2,0,5,female_Dmt2
34,female,6.527428016189152e-4,5.647648653332346e-7,0.0021556848893880846,0.035357612481535926,7963,Dmt2,0,50,30,2,0,5,female_Dmt2
35,female,9.07504494544734e-4,9.79539812031679e-7,0.0023833684049506705,0.037730016519105486,7482,Dmt2,0,50,35,2,0,5,female_Dmt2
36,female,9.07504494544734e-4,9.79539812031679e-7,0.0023833684049506705,0.037730016519105486,7482,Dmt2,0,50,35,2,0,5,female_Dmt2
37,female,9.07504494544734e-4,9.79539812031679e-7,0.0023833684049506705,0.037730016519105486,7482,Dmt2,0,50,35,2,0,5,female_Dmt2
38,female,9.07504494544734e-4,9.79539812031679e-7,0.0023833684049506705,0.037730016519105486,7482,Dmt2,0,50,35,2,0,5,female_Dmt2
39,female,9.07504494544734e-4,9.79539812031679e-7,0.0023833684049506705,0.037730016519105486,7482,Dmt2,0,50,35,2,0,5,female_Dmt2
40,female,0.0019762081848787847,1.428291946395195e-6,0.002774036825798337,0.042468919215518736,6901,Dmt2,0,50,40,2,0,5,female_Dmt2
41,female,0.0019762081848787847,1.428291946395195e-6,0.002774036825798337,0.042468919215518736,6901,Dmt2,0,50,40,2,0,5,female_Dmt2
42,female,0.0019762081848787847,1.428291946395195e-6,0.002774036825798337,0.042468919215518736,6901,Dmt2,0,50,40,2,0,5,female_Dmt2
43,female,0.0019762081848787847,1.428291946395195e-6,0.002774036825798337,0.042468919215518736,6901,Dmt2,0,50,40,2,0,5,female_Dmt2
44,female,0.0019762081848787847,1.428291946395195e-6,0.002774036825798337,0.042468919215518736,6901,Dmt2,0,50,40,2,0,5,female_Dmt2
45,female,0.003811857232971473,5.80448050432665e-6,0.0037245353884891035,0.05518172909062352,7531,Dmt2,0,50,45,3,0,5,female_Dmt2
46,female,0.003811857232971473,5.80448050432665e-6,0.0037245353884891035,0.05518172909062352,7531,Dmt2,0,50,45,3,0,5,female_Dmt2
47,female,0.003811857232971473,5.80448050432665e-6,0.0037245353884891035,0.05518172909062352,7531,Dmt2,0,50,45,3,0,5,female_Dmt2
48,female,0.003811857232971473,5.80448050432665e-6,0.0037245353884891035,0.05518172909062352,7531,Dmt2,0,50,45,3,0,5,female_Dmt2
49,female,0.003811857232971473,5.80448050432665e-6,0.0037245353884891035,0.05518172909062352,7531,Dmt2,0,50,45,3,0,5,female_Dmt2
50,female,0.004525739026040219,8.201523403365606e-6,0.005103031224532922,0.07503295176196115,7629,Dmt2,0,50,50,4,0,5,female_Dmt2
51,female,0.004525739026040219,8.201523403365606e-6,0.005103031224532922,0.07503295176196115,7629,Dmt2,0,50,50,4,0,5,female_Dmt2
52,female,0.004525739026040219,8.201523403365606e-6,0.005103031224532922,0.07503295176196115,7629,Dmt2,0,50,50,4,0,5,female_Dmt2
53,female,0.004525739026040219,8.201523403365606e-6,0.005103031224532922,0.07503295176196115,7629,Dmt2,0,50,50,4,0,5,female_Dmt2
54,female,0.004525739026040219,8.201523403365606e-6,0.005103031224532922,0.07503295176196115,7629,Dmt2,0,50,50,4,0,5,female_Dmt2
55,female,0.0042105509274525735,1.3682264983913364e-5,0.006326374124139787,0.094732417317107,6580,Dmt2,0,50,55,5,0,5,female_Dmt2
56,female,0.0042105509274525735,1.3682264983913364e-5,0.006326374124139787,0.094732417317107,6580,Dmt2,0,50,55,5,0,5,female_Dmt2
57,female,0.0042105509274525735,1.3682264983913364e-5,0.006326374124139787,0.094732417317107,6580,Dmt2,0,50,55,5,0,5,female_Dmt2
58,female,0.0042105509274525735,1.3682264983913364e-5,0.006326374124139787,0.094732417317107,6580,Dmt2,0,50,55,5,0,5,female_Dmt2
59,female,0.0042105509274525735,1.3682264983913364e-5,0.006326374124139787,0.094732417317107,6580,Dmt2,0,50,55,5,0,5,female_Dmt2
60,female,0.004059062669923434,2.9486809233538166e-5,0.007375296093848912,0.11259962360196767,5725,Dmt2,0,50,60,6,0,5,female_Dmt2
61,female,0.004059062669923434,2.9486809233538166e-5,0.007375296093848912,0.11259962360196767,5725,Dmt2,0,50,60,6,0,5,female_Dmt2
62,female,0.004059062669923434,2.9486809233538166e-5,0.007375296093848912,0.11259962360196767,5725,Dmt2,0,50,60,6,0,5,female_Dmt2
63,female,0.004059062669923434,2.9486809233538166e-5,0.007375296093848912,0.11259962360196767,5725,Dmt2,0,50,60,6,0,5,female_Dmt2
64,female,0.004059062669923434,2.9486809233538166e-5,0.007375296093848912,0.11259962360196767,5725,Dmt2,0,50,60,6,0,5,female_Dmt2
65,female,0.00406204779381113,4.965996849501379e-5,0.008283747529124353,0.12934470711467125,5670,Dmt2,0,50,65,6,0,5,female_Dmt2
66,female,0.00406204779381113,4.965996849501379e-5,0.008283747529124353,0.12934470711467125,5670,Dmt2,0,50,65,6,0,5,female_Dmt2
67,female,0.00406204779381113,4.965996849501379e-5,0.008283747529124353,0.12934470711467125,5670,Dmt2,0,50,65,6,0,5,female_Dmt2
68,female,0.00406204779381113,4.965996849501379e-5,0.008283747529124353,0.12934470711467125,5670,Dmt2,0,50,65,6,0,5,female_Dmt2
69,female,0.00406204779381113,4.965996849501379e-5,0.008283747529124353,0.12934470711467125,5670,Dmt2,0,50,65,6,0,5,female_Dmt2
70,female,0.0071039033121068195,1.0001777805884706e-4,0.009511696315075507,0.15039876923785697,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
71,female,0.0071039033121068195,1.0001777805884706e-4,0.009511696315075507,0.15039876923785697,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
72,female,0.0071039033121068195,1.0001777805884706e-4,0.009511696315075507,0.15039876923785697,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
73,female,0.0071039033121068195,1.0001777805884706e-4,0.009511696315075507,0.15039876923785697,5104,Dmt2,0,50,70,8,1,5,female_Dmt2
